id,downloads,likes,tags,created_at,last_modified,private,search_task
ourafla/Mental-Health_Text-Classification_Dataset,591,3,"task_categories:text-classification, language:en, license:cc-by-4.0, size_categories:10K<n<100K, modality:text, modality:tabular, region:us, text",2025-12-18T08:50:47.000Z,2025-12-18T09:27:26.000Z,False,text-classification
simana/textclassificationMNLI,315,0,"size_categories:100K<n<1M, format:csv, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars, region:us",2022-08-18T13:21:42.000Z,2022-08-25T10:37:09.000Z,False,text-classification
sdiazlor/text-classification-news-topics,273,1,"size_categories:1K<n<10K, format:parquet, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars, library:distilabel",2024-09-24T16:43:16.000Z,2024-09-24T16:43:39.000Z,False,text-classification
knowledgator/Scientific-text-classification,248,12,"size_categories:10K<n<100K, format:csv, modality:text, library:datasets, library:dask, library:mlcroissant, library:polars, region:us",2024-02-27T15:53:24.000Z,2024-02-27T15:56:41.000Z,False,text-classification
Karavet/ILUR-news-text-classification-corpus,234,2,"task_categories:text-classification, multilinguality:monolingual, language:hy, license:apache-2.0, size_categories:100K<n<1M, format:text, modality:text, library:datasets",2022-03-02T23:29:22.000Z,2022-10-21T16:06:12.000Z,False,text-classification
argilla/synthetic-domain-text-classification,132,5,"task_categories:text-classification, language:en, license:apache-2.0, size_categories:1K<n<10K, format:parquet, modality:text, library:datasets, library:pandas",2024-12-25T22:02:57.000Z,2024-12-30T08:18:35.000Z,False,text-classification
marcelsun/wos_hierarchical_multi_label_text_classification,131,0,"task_categories:text-classification, language:en, license:cc-by-4.0, size_categories:100K<n<1M, format:json, modality:text, library:datasets, library:dask",2024-12-03T06:26:09.000Z,2024-12-03T06:51:01.000Z,False,text-classification
MCINext/synthetic-persian-text-tone-classification-v3,89,0,"size_categories:10K<n<100K, format:json, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars, region:us",2025-07-12T12:46:11.000Z,2025-07-12T12:50:09.000Z,False,text-classification
ihsansaad24/Mental-Health_Text-Classification_Dataset,85,1,"task_categories:text-classification, language:en, license:cc-by-4.0, size_categories:10K<n<100K, modality:text, modality:tabular, region:us, text",2026-01-06T20:29:58.000Z,2026-01-06T20:29:58.000Z,False,text-classification
argilla/synthetic-text-classification-news,84,8,"size_categories:n<1K, format:parquet, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars, library:distilabel",2024-12-11T18:27:39.000Z,2024-12-11T18:27:43.000Z,False,text-classification
argilla/end2end_textclassification_with_vectors,79,1,"size_categories:1K<n<10K, format:parquet, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars, library:argilla",2023-11-29T14:38:40.000Z,2024-05-30T17:58:20.000Z,False,text-classification
MCINext/synthetic-persian-text-keyword-pair-classification,76,0,"size_categories:10K<n<100K, format:json, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars, region:us",2024-12-29T15:02:42.000Z,2025-06-02T15:45:37.000Z,False,text-classification
owaiskha9654/PubMed_MultiLabel_Text_Classification_Dataset_MeSH,71,24,"task_categories:text-classification, task_ids:multi-label-classification, source_datasets:BioASQ Task A, language:en, license:afl-3.0, size_categories:10K<n<100K, format:csv, modality:tabular",2022-08-02T20:13:50.000Z,2023-01-30T09:50:44.000Z,False,text-classification
Lots-of-LoRAs/task1341_msr_text_classification,64,0,"task_categories:text-generation, annotations_creators:crowdsourced, language_creators:crowdsourced, language:en, license:apache-2.0, size_categories:n<1K, format:parquet, modality:text",2024-07-03T21:13:41.000Z,2024-07-16T14:56:30.000Z,False,text-classification
Lots-of-LoRAs/task1605_ethos_text_classification,61,0,"task_categories:text-generation, annotations_creators:crowdsourced, language_creators:crowdsourced, language:en, license:apache-2.0, size_categories:n<1K, format:parquet, modality:text",2024-07-02T19:51:01.000Z,2024-07-16T14:54:24.000Z,False,text-classification
ml4pubmed/pubmed-text-classification-cased,60,0,"task_categories:text-classification, source_datasets:pubmed, language:en, license:apache-2.0, size_categories:1M<n<10M, format:csv, modality:text, library:datasets",2023-02-06T16:20:15.000Z,2023-02-06T16:43:19.000Z,False,text-classification
Lots-of-LoRAs/task1645_medical_question_pair_dataset_text_classification,60,2,"task_categories:text-generation, annotations_creators:crowdsourced, language_creators:crowdsourced, language:en, license:apache-2.0, size_categories:1K<n<10K, format:parquet, modality:text",2024-07-02T19:35:43.000Z,2024-07-16T14:11:15.000Z,False,text-classification
jakeazcona/short-text-labeled-emotion-classification,57,2,"size_categories:10K<n<100K, format:parquet, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars, region:us",2022-03-02T23:29:22.000Z,2021-12-05T18:38:57.000Z,False,text-classification
israel/Amharic-News-Text-classification-Dataset,57,1,"license:cc-by-4.0, size_categories:10K<n<100K, format:csv, modality:tabular, modality:text, library:datasets, library:pandas, library:mlcroissant",2022-04-06T09:20:35.000Z,2022-04-06T09:27:52.000Z,False,text-classification
Rami/multi-label-class-github-issues-text-classification,55,1,"size_categories:1K<n<10K, format:parquet, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars, region:us",2022-11-29T16:32:12.000Z,2022-12-02T01:19:08.000Z,False,text-classification
Lots-of-LoRAs/task1606_ethos_text_classification,52,0,"task_categories:text-generation, annotations_creators:crowdsourced, language_creators:crowdsourced, language:en, license:apache-2.0, size_categories:n<1K, format:parquet, modality:text",2024-07-03T21:27:57.000Z,2024-07-16T14:31:04.000Z,False,text-classification
murodbek/uz-text-classification,49,4,"task_categories:text-classification, task_categories:fill-mask, task_categories:text-generation, language:uz, size_categories:100K<n<1M, format:parquet, modality:text, library:datasets",2023-06-01T13:12:51.000Z,2023-10-31T11:05:52.000Z,False,text-classification
nickmuchi/financial-text-combo-classification,47,8,"task_categories:text-classification, task_ids:multi-class-classification, task_ids:sentiment-classification, language:en, size_categories:10K<n<100K, format:parquet, modality:text, library:datasets",2023-01-19T15:12:10.000Z,2023-01-27T23:21:24.000Z,False,text-classification
ganchengguang/Text-Sentiment-Classification-and-Part-of-Speech-Sentiment-Classification-Mix-Dataset,46,1,"task_categories:text-classification, task_categories:token-classification, language:ja, license:cc-by-nc-4.0, arxiv:2309.03787, region:us",2024-10-18T14:57:51.000Z,2024-10-18T15:01:09.000Z,False,text-classification
argilla/synthetic-text-classification-news-multi-label,44,4,"size_categories:n<1K, format:parquet, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars, library:distilabel",2024-12-11T14:03:02.000Z,2024-12-11T14:03:05.000Z,False,text-classification
jakeazcona/short-text-multi-labeled-emotion-classification,43,2,"size_categories:10K<n<100K, format:csv, modality:tabular, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars",2022-03-02T23:29:22.000Z,2021-12-02T01:08:12.000Z,False,text-classification
slconnin/synthetic-text-classification,42,0,"size_categories:10K<n<100K, format:parquet, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars, region:us",2025-07-28T22:37:05.000Z,2025-07-28T22:37:08.000Z,False,text-classification
argilla/end2end_textclassification,40,2,"size_categories:1K<n<10K, format:parquet, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars, library:argilla",2023-11-13T17:25:52.000Z,2024-05-30T17:56:10.000Z,False,text-classification
Lots-of-LoRAs/task1607_ethos_text_classification,39,0,"task_categories:text-generation, annotations_creators:crowdsourced, language_creators:crowdsourced, language:en, license:apache-2.0, size_categories:n<1K, format:parquet, modality:text",2024-07-02T19:50:52.000Z,2024-07-16T13:46:28.000Z,False,text-classification
inokusan/human_ai_text_classification,38,0,"task_categories:text-classification, language:en, license:other, size_categories:100K<n<1M, format:parquet, format:optimized-parquet, modality:text, library:datasets",2026-03-12T05:14:14.000Z,2026-03-12T05:30:14.000Z,False,text-classification
hossein20s/enrun-emails-text-classification,36,3,"size_categories:10K<n<100K, format:parquet, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars, region:us",2022-09-27T22:33:26.000Z,2022-09-27T22:33:36.000Z,False,text-classification
Lots-of-LoRAs/task679_hope_edi_english_text_classification,36,0,"task_categories:text-generation, annotations_creators:crowdsourced, language_creators:crowdsourced, language:en, license:apache-2.0, size_categories:1K<n<10K, format:parquet, modality:text",2024-07-03T21:17:22.000Z,2024-07-16T14:17:12.000Z,False,text-classification
ganchengguang/Text-Classification-and-Relation-Event-Extraction-Mix-datasets,34,2,"task_categories:text-classification, task_categories:token-classification, language:ja, license:cc-by-nc-4.0, size_categories:1K<n<10K, format:csv, modality:text, library:datasets",2024-10-18T15:02:08.000Z,2024-10-18T15:05:42.000Z,False,text-classification
nayma11/Mental-Health_Text-Classification_Dataset,34,0,"task_categories:text-classification, language:en, license:cc-by-4.0, size_categories:10K<n<100K, modality:text, modality:tabular, region:us, text",2026-02-23T10:15:06.000Z,2026-02-23T10:15:06.000Z,False,text-classification
